Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,WaitType,Text,PageCtrl,Voice,WindowType
,トコ,07_怒り,CharacterLayer,,,,,"町中のみんなが熱狂するような、特大のなにかが欲しい……！",,,
//？？？はCharacterシート未登録のため名前欄のみ表示され立ち絵は出ない,,,,,,,,,,,
,？？？,,CharacterLayer,,,,,"ふふ……君、イイ欲を持っているね。",,,
,トコ,08_驚き,CharacterLayer,,,,,"えっ！？ 誰、急に……ってうさんくさっ！",,,
,占い師,12_ドヤ顔,CharacterLayer,,,,,"ボクは占い師。極上のバズを求める君に、この『テレクリスタル』をあげよう。",,,
,トコ,04_困り,CharacterLayer,,,,,"バ、バズ……？　それに一体なんなの？　テレクリスタルって……",,,
,占い師,10_真剣,CharacterLayer,,,,,"このテレクリスタルを使えば、遠くにいる勇者の冒険をこの町に届けられる。",,,
,トコ,08_驚き,CharacterLayer,,,,,"そんなことが……！　じゃあ、これを利用すれば……",,,
,占い師,02_笑顔,CharacterLayer,,,,,"そう。人々は夢中になる。さあ、早速広場で試してみよう。",,,
EndScenario,,,,,,,,,,,
,,,,,,,,,,,
//配信チュートリアル　配信準備画面にて,,,,,,,,,,,
*Tutorial_StreamingPrepare,,,,,,,,,,,
,占い師,01_通常,CharacterLayer,,,,,"まずは、広場で売る商品を選ぶんだ。今回はボクが用意したものを使うと良いよ。\n売り出す商品が決まったら『配信開始』だ。",,,
EndScenario,,,,,,,,,,,
,,,,,,,,,,,
//配信チュートリアル　配信開始直後,,,,,,,,,,,
*Tutorial_StreamingStart,,,,,,,,,,,
,トコ,08_驚き,CharacterLayer,,,,,"わあ！　画面に勇者さまの冒険がリアルタイムで映ってる！",,,
,占い師,01_通常,CharacterLayer,,,,,"さあ、配信が始まったね。\n左のアイテム欄から商品をドラッグして、下の店頭に並べるんだ。",,,
,占い師,12_ドヤ顔,CharacterLayer,,,,,"ここがトコちゃんの腕の見せ所さ。\n勇者の戦闘状況に合わせて売れる商品は刻一刻と変わっていく。",,,
,トコ,03_大笑い,CharacterLayer,,,,,"なるほど！　配信を観ながら、今一番売れそうな商品を予想して並べ替えていくんだね！",,,
,占い師,02_笑顔,CharacterLayer,,,,,"その通り。さあ、商品を並べて、販売開始だ！",,,
EndScenario,,,,,,,,,,,
,,,,,,,,,,,
//配信チュートリアル終了　お店にて,,,,,,,,,,,
*Tutorial_StreamingEnd,,,,,,,,,,,
,占い師,12_ドヤ顔,CharacterLayer,,,,,"どうだったかな？　自分の手でバズを操る気分は。",,,
,トコ,10_真剣,CharacterLayer,,,,,"……最高。",,,
,トコ,09_照れ,CharacterLayer,,,,,"これが……バズなんだ！！！",,,
,占い師,01_通常,CharacterLayer,,,,,"気に入ってくれたようで何よりだよ。",,,
,占い師,02_笑顔,CharacterLayer,,,,,"それじゃ本題なんだけど\n＿＿定期的なテレクリスタルの使用料をよろしく頼むよ～。",,,
,トコ,10_真剣,CharacterLayer,,,,,"……え？",,,
,占い師,02_笑顔,CharacterLayer,,,,,"世の中そんなに甘くないさ。維持費として、これからは定期的に使用料を払ってもらうからね。",,,
,トコ,05_悲しい,CharacterLayer,,,,,"うぅ……でも、バズの快感を知っちゃったからには、もう手放せないよ……。",,,
,占い師,02_笑顔,CharacterLayer,,,,,"ふふ。なら、せいぜい頑張って稼ぐことだね。\nそのためにも、もっと色んな場所を巡って人脈を広げていくといい。",,,
,占い師,01_通常,CharacterLayer,,,,,"ボクも今後、ちょくちょく商売のコツを教えに来てあげるからね。",,,
,トコ,03_大笑い,CharacterLayer,,,,,"よーし、色んな人と関わって、トムトムランドで一番の商人になってみせるぞー！",,,
EndScenario,,,,,,,,,,,
